Number,Road,Type,Load,Location,Track,Final Destination,Track,Train,Moves,Date and Time
6550,PGCC,,E,Pier Float,Float Tracks,,,,0,2023/01/10 07:49:25
6550,PGCC,HK,E,Pier Float,Float Tracks,,,,0,2023/01/10 07:52:01
6550,PGCC,HK,E,Pier Float,Float Tracks,,,,0,2023/01/10 07:54:04
6550,PGCC,HK,E,Pier Float,Float Tracks,,,,0,2023/01/10 07:59:26
6550,PGCC,HK,E,Pier Float,Float Tracks,,,,0,2023/01/10 08:00:42
6550,PGCC,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:21
6550,PGCC,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:36
6550,PGCC,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:40
6550,PGCC,HK,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:48
6550,PGCC,,E,Pier Float,Float Tracks,,,,0,2023/01/12 10:04:47
6550,PGCC,,E,Pier Float,Float Tracks,,,,0,2023/01/12 10:04:51
