Operator,Description,Parameters
RN,Railroad Name,"JAWS II - PRR BEDS - 1915"
TN,Train Name,"First Trick"
TM,Train Manifest Description,"Switch Carfloat to BEDS"
PRNTR,Printer Name,""
VT,Valid,11/05/2020 12:49
LN,Location Name,Car Float
DT,Departure Time,00:00
PC,Pick up car,NYP&N,047,Boxcar,36,LCL,FCC,Car Float,Float Tracks,Brooklyn Eastern District,4th Street Station,,,"","","",,,,"",,,,0,,,Load
PC,Pick up car,NYP&N,046,Boxcar,36,LCL,FCC,Car Float,Float Tracks,Brooklyn Eastern District,4th Street Station,,,"","","",,,,"",,,,0,,,Load
PC,Pick up car,NYP&N,045,Boxcar,36,LCL,FCC,Car Float,Float Tracks,Brooklyn Eastern District,4th Street Station,,,"","","",,,,"",,,,0,,,Load
PC,Pick up car,NYP&N,044,Boxcar,36,LCL,FCC,Car Float,Float Tracks,Brooklyn Eastern District,4th Street Station,,,"","","",,,,"",,,,0,,,Load
PC,Pick up car,NYP&N,043,Boxcar,36,LCL,FCC,Car Float,Float Tracks,Brooklyn Eastern District,4th Street Station,,,"","","",,,,"",,,,0,,,Load
PC,Pick up car,NYP&N,25,Long Gondola,40,Crane,FCC,Car Float,Float Tracks,Brooklyn Eastern District,Crane,,,"","","",,,,"",,,,0,,,Load
PC,Pick up car,NYP&N,23,Long Gondola,36,Crane,FCC,Car Float,Float Tracks,Brooklyn Eastern District,Crane,,,"","","",,,,"",,,,0,,,Load
PC,Pick up car,NYP&N,22,Long Gondola,36,Manifest,FCC,Car Float,Float Tracks,Brooklyn Eastern District,Team Tracks,,,"","","",,,,"",,,,0,,,Load
PC,Pick up car,NYP&N,042,Boxcar,36,Manifest,FCC,Car Float,Float Tracks,Brooklyn Eastern District,Team Tracks,,,"","","",,,,"",,,,0,,,Load
PC,Pick up car,NYP&N,041,Boxcar,36,Manifest,FCC,Car Float,Float Tracks,Brooklyn Eastern District,Team Tracks,,,"","","",,,,"",,,,0,,,Load
